sudionik1,sudionik2,situacijski_kontekst,prostor,vrijeme,opis_ipv,emocija_ipv,{http://www.w3.org/XML/1998/namespace}space,opis_ipn,emocija_ipn,opis_iov,opis_iov_ostalo,emocija_iov,opis_ion,emocija_ion,opis_epv,opis_epv_ostalo,emocija_epv,opis_epn,opis_epn_ostalo,emocija_epn,opis_eov,opis_eov_ostalo,emocija_eov,opis_eon,opis_eon_ostalo,emocija_eon,
Klementina (ja),sestra,razgovor sa sestrom ispred Westina,Zagreb: ispred Westina,prijepodne, između predavanja,pozdravna formula,nestrpljivo, uzbuđeno,preserve,grljenje,blisko, toplo,0,komb: iov1, iov3,čuđenje, veselje,grljenje,toplo, srdačno,0,komb: epv2, epv9,sretno, pozitivno,0,komb: enp7, epn5,sreća,0,komb: eov9, eov3, eov2,sreća,0,komb: eon7, eon5,sreća, toplina,
student,profesorica,usputni razgovor na hodniku,Zagreb: hodnik na fakultetu,prijepodne, prije predavanja,pozdravna formula s vokativom,neutralno,preserve,kimanje glavom,neutralno,0,komb: iov4, iov1,kimanje glavom,neutralno,0,komb: epv2, epv4,neutralno,kimanje glavom,neutralno,0,komb: eov2, eov9,neutralno,
Klementina (ja),prijateljica,razgovor kod nje doma,Zagreb: prijateljičin stan,navečer, nakon posla,pozdrav s pitanjem,zabrinuto,preserve,grljenje,toplo, utješno,0,iov1, pitanje,grljenje,utješno,planiranje idućega susreta,sretno,grljenje,opušteno,0,komb: eov2, eov3,veselo, s oduševljenjem,grljenje,opušteno, veselo,
Aleksandar Stanković (voditelj i urednik emisije Nedjeljom u 2).,Monika Herceg (pjesnikinja).,Razgovor u televizijskoj emisiji Nedjeljom u 2.,Zagreb: televizijski studio (HRT).,Nedjelja, 14.00.,20.12.2020.,pozdravna formula,,Profesionalan, staložen, smiren.,preserve,0,Blagi smješak.,Zadovoljan, sretan, možda malo ponosan.,odzdravna formula,,Sramežljiva.,,Smiješak, pogled usmjeren prema dolje, lagano ljuljanje na stolcu.,Nervozna, uzbuđena.,izražavanje zadovoljstva zbog susreta i zahvaljivanje za uspostavljenom komunikacijom,,Ozbiljan u glasu. Zadovoljan razgovorom.,0,Blago spuštanje glave prije verbalnog odzdrava s fokusiranim (koncentriranim) pogledom na sugovornika.,Ozbiljan, samopouzdan.,izražavanje zadovoljstva zbog susreta i zahvaljivanje za uspostavljenom komunikacijom,,Zadovoljna, sramežljiva, malo povučena (stisnuta) u glasu.,,Usmjeren pogled na voditelja, ljuljanje na stolici.,Kao i na početku razgovora, djeluje nervozno, sramežljivo i ne toliko opušteno.,
prijatelj, Antonio ,kuharica,posluživanje hrane u studentskoj menzi,Zagreb, studentska menza, FSB,podne,21.3.2022.,Jasmina Ranogajec,pozdravna formula s vokativom,srdačno,preserve,0,osmijeh,veselo,0,iov1, iov4, vokativ,veselo,0,osmijeh, podizanje obrva,veselo,0,zahvala, najava idućeg susreta,ljubazno,0,osmijeh,veselo,naznaka želje za lijepo provedenim vremenom tijekom rastanka,veselo,0,osmijeh,veselo,
Stanar (1),Stanar (2), susjed.,Mimoilaženje. Jedan se spušta prema izlazu, drugi se penje prema svojim ulaznim vratima.,Zagreb: haustor, na stepenicama.,Večer, oko 20:30.,23.3.2022.,pozdrav s pitanjem,,Sretan.,preserve,0,komb: ipn4 + smiješak ,Pomalo znatiželjan.,0,komb: iov1, iov4,Iznenađen, malo oduševljen u pozitivnom smislu.,0,komb: ion4 + pogled dolje, polu osmijeh.,Zbunjen, spetljao se malo u odgovoru.,0,komb: epv2, epv9,Zadovoljan kratkim razgovorom.,tapšanje po ramenu i sl.,,Dobro raspoložen, iskazao ljubaznost.,0,komb: eov2, eov9,U glasu malo nestrpljiv. Možda mu se negdje žurilo.,0,komb: eon4 + smiješak.,Djelovao je sretno.,
sveučilišni profesor Marko Alerić,studentica, Petra,početak online predavanja,Google meet, Zagreb,ujutro,24. ožujka 2022.,Petra Radman,pozdrav s pitanjem,srdačno,preserve,osmijeh ili smiješak,srdačno,0,iov1 s odgovorom,ljubazno,0,ljubazno,0,komb: epv2, epv8, epv4, epv5, epv9,sretno, srdačno,0,srdačno,0,zahvala, eov5, eov9,srdačno,osmijeh ili smiješak,srdačno, sretno,
susjed 1,susjed 2,susret na ulici (jedan stoji ispred kuće, drugi prolazi),Sisak: 2.ulica,prijepodne,Rafaela Galinić,pozdrav s pitanjem,srdačno,preserve,kimanje glavom,srdačno,0,iov1, protupitanje,srdačno, uzbuđeno,mahanje,srdačno, uzbuđeno,0,komb: epv3, epv9,srdačno, veselo, nasmijano,0,komb: epn4, epn5,srdačno, veselo, nasmijano,0,komb: eov2, eov9,srdačno, veselo, nasmijano,mahanje,srdačno, veselo, nasmijano,
Luka,brat,doček brata s putovanja iz inozemstva,autobusni kolodvor,21:15,5. ožujka 2022.,0,komb: ipv2, ipv6,sretno,preserve,0,držanje za ramena, pozdravni poljupci,sretno,0,odzdravna formula, ostalo su odgovori na invokacijska pozdravna pitanja,isto sretno, pomalo iscrcpljeno (što je logično),0,isto pozdravni poljupci,sretno,0,komb: epv2, epv4, epv9,zadovoljno, ugodno, uzbuđeno,grljenje,,zadovoljno, ugodno,0,komb: eov2, eov9,sretno i umorno,grljenje,,sretno i umorno,
Glorija (ja),Prijatelj,dolazak na rođendansku proslavu,stan u zgradi,19:45,2. travnja 2022.,komb: ipv1, dobre želje,uzbuđeno, sretno,preserve,grljenje,srdačno,iov1, pozivanje na druženje,uzbuđeno, veselo,grljenje,srdačno,najava odlaska, epv8, ev9,zadovoljno, sretno,grljenje,srdačno,eov8, eov9,zadovoljno, sretno,grljenje,srdačno,
